:START_ID,:END_ID,:TYPE
23,22624,acted_in
23,22768,acted_in
23,21517,acted_in
23,22540,acted_in
23,22852,acted_in
23,21948,acted_in
23,20489,acted_in
23,20701,acted_in
23,22054,acted_in
23,20144,acted_in
23,21005,acted_in
23,21156,acted_in
23,22932,acted_in
23,21913,acted_in
23,21919,acted_in
23,22381,acted_in
23,21077,acted_in
23,20128,acted_in
23,21153,acted_in
23,20368,acted_in
23,22015,acted_in
24,20165,acted_in
24,20971,acted_in
24,22629,acted_in
24,22800,acted_in
24,22854,acted_in
24,21953,acted_in
24,21563,acted_in
24,22753,acted_in
24,20408,acted_in
24,23081,acted_in
24,22684,acted_in
24,21027,acted_in
24,22264,acted_in
24,21826,acted_in
24,21772,acted_in
24,21748,acted_in
24,21458,acted_in
24,21535,acted_in
24,21731,acted_in
24,21078,acted_in
24,22014,acted_in
24,23146,acted_in
24,22727,acted_in
24,21730,acted_in
24,22315,acted_in
24,20413,acted_in
24,20588,acted_in
24,22792,acted_in
24,21795,acted_in
24,22424,acted_in
24,20744,acted_in
24,22224,acted_in
24,21878,acted_in
24,21620,acted_in
24,22272,acted_in
24,22419,acted_in
24,21753,acted_in
24,22705,acted_in
24,23164,acted_in
24,21718,acted_in
24,22082,acted_in
24,22564,acted_in
24,22464,acted_in
24,21823,acted_in
25,23118,acted_in
25,22055,acted_in
25,22825,acted_in
25,22940,acted_in
25,20347,acted_in
25,21824,acted_in
25,21794,acted_in
25,22363,acted_in
25,21538,acted_in
25,22687,acted_in
25,21388,acted_in
25,20752,acted_in
25,21204,acted_in
25,20737,acted_in
25,22994,acted_in
25,22748,acted_in
25,22649,acted_in
25,20166,acted_in
25,22866,acted_in
25,22802,acted_in
25,21784,acted_in
25,23006,acted_in
25,22934,acted_in
25,20130,acted_in
25,22938,acted_in
25,22614,acted_in
25,20007,acted_in
25,21256,acted_in
25,21523,acted_in
25,22600,acted_in
25,20645,acted_in
25,22321,acted_in
25,22187,acted_in
25,20454,acted_in
25,20189,acted_in
25,20601,acted_in
26,22300,acted_in
26,21329,acted_in
26,23143,acted_in
26,21691,acted_in
26,23188,acted_in
26,21471,acted_in
26,20690,acted_in
26,22282,acted_in
26,20622,acted_in
26,20425,acted_in
26,20091,acted_in
26,21176,acted_in
26,20137,acted_in
26,20250,acted_in
26,22923,acted_in
26,21157,acted_in
26,23025,acted_in
26,21343,acted_in
26,20903,acted_in
26,21007,acted_in
26,22188,acted_in
26,21147,acted_in
26,20306,acted_in
26,21899,acted_in
26,21129,acted_in
26,21276,acted_in
26,21491,acted_in
26,20479,acted_in
26,20870,acted_in
26,20299,acted_in
26,22752,acted_in
26,22484,acted_in
26,21941,acted_in
27,22110,acted_in
27,20578,acted_in
27,22491,acted_in
27,22382,acted_in
27,20991,acted_in
27,22719,acted_in
27,22143,acted_in
27,22937,acted_in
27,20200,acted_in
27,22048,acted_in
27,23148,acted_in
27,20593,acted_in
27,20341,acted_in
27,20041,acted_in
27,21284,acted_in
27,20531,acted_in
27,23038,acted_in
27,22954,acted_in
27,21357,acted_in
27,20444,acted_in
27,20396,acted_in
27,22860,acted_in
27,22365,acted_in
27,21485,acted_in
27,21170,acted_in
27,23176,acted_in
27,20080,acted_in
27,23144,acted_in
27,21573,acted_in
27,22668,acted_in
27,21501,acted_in
27,21408,acted_in
27,20544,acted_in
27,21936,acted_in
27,22002,acted_in
27,20685,acted_in
27,20156,acted_in
28,23060,acted_in
28,21185,acted_in
28,21665,acted_in
28,21376,acted_in
28,20452,acted_in
28,22730,acted_in
28,22912,acted_in
28,20898,acted_in
28,20323,acted_in
28,21548,acted_in
28,22874,acted_in
28,20337,acted_in
28,20712,acted_in
28,20129,acted_in
28,20773,acted_in
28,21446,acted_in
28,20289,acted_in
28,23101,acted_in
28,21688,acted_in
28,21942,acted_in
28,22734,acted_in
28,21746,acted_in
28,22112,acted_in
28,22915,acted_in
28,20274,acted_in
28,22826,acted_in
28,23072,acted_in
28,20979,acted_in
28,21359,acted_in
28,20931,acted_in
28,20282,acted_in
28,22701,acted_in
29,22604,acted_in
29,22886,acted_in
29,20511,acted_in
29,20326,acted_in
29,22114,acted_in
29,23178,acted_in
29,20929,acted_in
29,22152,acted_in
29,23092,acted_in
29,20487,acted_in
29,20560,acted_in
29,20994,acted_in
29,22120,acted_in
29,21058,acted_in
29,23023,acted_in
29,22102,acted_in
29,22258,acted_in
30,22063,acted_in
30,20681,acted_in
30,21732,acted_in
30,22280,acted_in
30,20714,acted_in
30,20410,acted_in
30,20270,acted_in
30,21971,acted_in
30,20098,acted_in
30,20264,acted_in
30,21609,acted_in
30,21173,acted_in
30,21480,acted_in
30,21972,acted_in
30,21635,acted_in
30,20146,acted_in
30,20582,acted_in
30,22201,acted_in
30,20345,acted_in
30,20700,acted_in
30,20637,acted_in
30,20663,acted_in
30,21745,acted_in
30,20196,acted_in
30,22789,acted_in
30,22542,acted_in
30,22466,acted_in
30,20688,acted_in
30,22326,acted_in
30,22900,acted_in
30,21935,acted_in
30,22122,acted_in
30,20621,acted_in
30,21900,acted_in
30,21593,acted_in
30,21679,acted_in
30,20855,acted_in
30,22922,acted_in
30,20235,acted_in
30,20957,acted_in
31,22471,acted_in
31,20999,acted_in
31,21355,acted_in
31,22426,acted_in
31,21334,acted_in
31,23192,acted_in
31,21559,acted_in
31,21649,acted_in
31,21002,acted_in
31,20775,acted_in
31,22283,acted_in
31,22762,acted_in
31,20597,acted_in
31,20631,acted_in
31,20047,acted_in
31,21362,acted_in
31,22478,acted_in
31,20172,acted_in
31,22847,acted_in
31,20835,acted_in
31,20199,acted_in
31,22472,acted_in
31,20456,acted_in
31,22324,acted_in
31,21719,acted_in
31,22409,acted_in
31,22525,acted_in
31,21270,acted_in
31,21860,acted_in
31,21859,acted_in
31,22989,acted_in
31,20111,acted_in
31,20333,acted_in
31,22075,acted_in
31,22606,acted_in
31,21850,acted_in
31,22329,acted_in
31,21956,acted_in
31,22685,acted_in
31,21564,acted_in
31,20293,acted_in
31,20375,acted_in
31,21837,acted_in
31,20491,acted_in
31,21834,acted_in
31,20405,acted_in
31,22164,acted_in
31,20552,acted_in
31,20276,acted_in
31,22743,acted_in
31,20330,acted_in
31,20935,acted_in
31,21870,acted_in
31,21852,acted_in
31,22566,acted_in
31,21191,acted_in
31,21569,acted_in
31,22996,acted_in
31,22301,acted_in
31,20160,acted_in
31,21508,acted_in
31,23024,acted_in
31,21066,acted_in
31,20389,acted_in
31,20608,acted_in
31,20062,acted_in
31,20868,acted_in
31,22665,acted_in
32,20507,acted_in
32,21429,acted_in
32,20043,acted_in
32,23171,acted_in
32,20380,acted_in
32,20458,acted_in
32,21777,acted_in
32,20995,acted_in
32,22251,acted_in
32,20094,acted_in
32,22486,acted_in
32,22707,acted_in
32,23132,acted_in
32,20882,acted_in
32,21783,acted_in
32,21603,acted_in
32,21309,acted_in
32,23017,acted_in
32,22785,acted_in
32,21120,acted_in
32,20500,acted_in
32,22545,acted_in
32,21095,acted_in
32,20796,acted_in
32,20404,acted_in
32,21477,acted_in
32,22533,acted_in
32,21843,acted_in
32,23042,acted_in
32,22929,acted_in
32,21854,acted_in
32,22255,acted_in
32,20770,acted_in
32,20315,acted_in
32,22161,acted_in
32,23031,acted_in
33,20695,acted_in
33,22058,acted_in
33,21460,acted_in
33,21989,acted_in
33,22662,acted_in
33,21802,acted_in
33,20411,acted_in
33,22307,acted_in
33,21410,acted_in
33,21525,acted_in
33,22901,acted_in
33,21615,acted_in
33,22853,acted_in
33,21381,acted_in
33,22171,acted_in
33,22270,acted_in
33,21247,acted_in
33,21199,acted_in
33,21244,acted_in
33,23167,acted_in
33,22587,acted_in
33,20360,acted_in
33,20077,acted_in
33,21356,acted_in
33,20291,acted_in
33,22266,acted_in
33,22561,acted_in
33,21544,acted_in
33,23122,acted_in
33,20286,acted_in
33,22428,acted_in
33,21912,acted_in
33,22704,acted_in
33,22299,acted_in
33,21349,acted_in
33,20441,acted_in
33,21236,acted_in
34,22011,acted_in
34,21638,acted_in
34,20020,acted_in
34,22643,acted_in
34,21122,acted_in
34,21536,acted_in
34,21153,acted_in
34,21728,acted_in
34,20715,acted_in
34,21341,acted_in
34,21063,acted_in
